,Logistic Regression,Naive Bayes,KNN (raw),KNN (SVD),Linear SVM,Decision Tree,Random Forest
Logistic Regression,1.0,0.5958904109589042,0.4280821917808219,0.4931506849315068,0.8047945205479452,0.4657534246575342,0.523972602739726
Naive Bayes,0.17791411042944785,1.0,0.45296523517382414,0.4100204498977505,0.16257668711656442,0.27505112474437626,0.294478527607362
KNN (raw),0.062375249500998,0.22105788423153694,1.0,0.21407185628742514,0.06087824351297405,0.13822355289421157,0.08532934131736528
KNN (SVD),0.20253164556962025,0.5639943741209564,0.6033755274261603,1.0,0.180028129395218,0.2812939521800281,0.2883263009845288
Linear SVM,0.8453237410071942,0.5719424460431655,0.43884892086330934,0.460431654676259,1.0,0.46402877697841727,0.48201438848920863
Decision Tree,0.19236209335219237,0.38048090523338046,0.3917963224893918,0.2828854314002829,0.18246110325318246,1.0,0.3055162659123055
Random Forest,0.3740831295843521,0.7041564792176039,0.4180929095354523,0.5012224938875306,0.3276283618581907,0.5281173594132029,1.0
